Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,155058176,2.59%,11076480,10.69%,448,0.01%,1x3x416x416,1x16x416x416
/model.0/act/Sigmoid,Sigmoid,177209344,2.96%,11075584,10.69%,0,0.00%,1x16x416x416,1x16x416x416
/model.0/act/Mul,Mul,5537792,0.09%,11075584,10.69%,0,0.00%,1x16x416x416,1x16x416x416
/model.1/MaxPool,MaxPool,5537792,0.09%,2768896,2.67%,0,0.00%,1x16x416x416,1x16x208x208
/model.2/conv/Conv,Conv,401489920,6.70%,5547072,5.35%,4640,0.05%,1x16x208x208,1x32x208x208
/model.2/act/Sigmoid,Sigmoid,88604672,1.48%,5537792,5.34%,0,0.00%,1x32x208x208,1x32x208x208
/model.2/act/Mul,Mul,2768896,0.05%,5537792,5.34%,0,0.00%,1x32x208x208,1x32x208x208
/model.3/MaxPool,MaxPool,2768896,0.05%,1384448,1.34%,0,0.00%,1x32x208x208,1x32x104x104
/model.4/conv/Conv,Conv,400105472,6.67%,2805888,2.71%,18496,0.21%,1x32x104x104,1x64x104x104
/model.4/act/Sigmoid,Sigmoid,44302336,0.74%,2768896,2.67%,0,0.00%,1x64x104x104,1x64x104x104
/model.4/act/Mul,Mul,1384448,0.02%,2768896,2.67%,0,0.00%,1x64x104x104,1x64x104x104
/model.5/MaxPool,MaxPool,1384448,0.02%,692224,0.67%,0,0.00%,1x64x104x104,1x64x52x52
/model.6/conv/Conv,Conv,399413248,6.66%,1532160,1.48%,73856,0.83%,1x64x52x52,1x128x52x52
/model.6/act/Sigmoid,Sigmoid,22151168,0.37%,1384448,1.34%,0,0.00%,1x128x52x52,1x128x52x52
/model.6/act/Mul,Mul,692224,0.01%,1384448,1.34%,0,0.00%,1x128x52x52,1x128x52x52
/model.7/MaxPool,MaxPool,692224,0.01%,346112,0.33%,0,0.00%,1x128x52x52,1x128x26x26
