Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,91750400,1.83%,6554496,8.50%,448,0.00%,1x3x320x320,1x16x320x320
/model.0/act/Sigmoid,Sigmoid,104857600,2.09%,6553600,8.50%,0,0.00%,1x16x320x320,1x16x320x320
/model.0/act/Mul,Mul,3276800,0.07%,6553600,8.50%,0,0.00%,1x16x320x320,1x16x320x320
/model.1/MaxPool,MaxPool,3276800,0.07%,1638400,2.13%,0,0.00%,1x16x320x320,1x16x160x160
/model.2/conv/Conv,Conv,237568000,4.73%,3286080,4.26%,4640,0.04%,1x16x160x160,1x32x160x160
/model.2/act/Sigmoid,Sigmoid,52428800,1.04%,3276800,4.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/act/Mul,Mul,1638400,0.03%,3276800,4.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.3/MaxPool,MaxPool,1638400,0.03%,819200,1.06%,0,0.00%,1x32x160x160,1x32x80x80
/model.4/conv/Conv,Conv,236748800,4.71%,1675392,2.17%,18496,0.15%,1x32x80x80,1x64x80x80
/model.4/act/Sigmoid,Sigmoid,26214400,0.52%,1638400,2.13%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/act/Mul,Mul,819200,0.02%,1638400,2.13%,0,0.00%,1x64x80x80,1x64x80x80
/model.5/MaxPool,MaxPool,819200,0.02%,409600,0.53%,0,0.00%,1x64x80x80,1x64x40x40
/model.6/conv/Conv,Conv,236339200,4.70%,966912,1.25%,73856,0.61%,1x64x40x40,1x128x40x40
/model.6/act/Sigmoid,Sigmoid,13107200,0.26%,819200,1.06%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/act/Mul,Mul,409600,0.01%,819200,1.06%,0,0.00%,1x128x40x40,1x128x40x40
/model.7/MaxPool,MaxPool,409600,0.01%,204800,0.27%,0,0.00%,1x128x40x40,1x128x20x20
/model.8/conv/Conv,Conv,236134400,4.70%,999936,1.30%,295168,2.43%,1x128x20x20,1x256x20x20
/model.8/act/Sigmoid,Sigmoid,6553600,0.13%,409600,0.53%,0,0.00%,1x256x20x20,1x256x20x20
/model.8/act/Mul,Mul,204800,0.00%,409600,0.53%,0,0.00%,1x256x20x20,1x256x20x20
/model.9/MaxPool,MaxPool,204800,0.00%,102400,0.13%,0,0.00%,1x256x20x20,1x256x10x10
/model.10/conv/Conv,Conv,236032000,4.70%,2565120,3.33%,1180160,9.70%,1x256x10x10,1x512x10x10
/model.10/act/Sigmoid,Sigmoid,3276800,0.07%,204800,0.27%,0,0.00%,1x512x10x10,1x512x10x10
/model.10/act/Mul,Mul,102400,0.00%,204800,0.27%,0,0.00%,1x512x10x10,1x512x10x10
/model.12/MaxPool,MaxPool,409600,0.01%,204800,0.27%,0,0.00%,1x512x11x11,1x512x10x10
/model.13/conv/Conv,Conv,943923200,18.79%,9848832,12.78%,4719616,38.78%,1x512x10x10,1x1024x10x10
/model.13/act/Sigmoid,Sigmoid,6553600,0.13%,409600,0.53%,0,0.00%,1x1024x10x10,1x1024x10x10
/model.13/act/Mul,Mul,204800,0.00%,409600,0.53%,0,0.00%,1x1024x10x10,1x1024x10x10
/model.14/conv/Conv,Conv,52480000,1.04%,627200,0.81%,262400,2.16%,1x1024x10x10,1x256x10x10
/model.14/act/Sigmoid,Sigmoid,1638400,0.03%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.14/act/Mul,Mul,51200,0.00%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.15/conv/Conv,Conv,236032000,4.70%,2565120,3.33%,1180160,9.70%,1x256x10x10,1x512x10x10
/model.16/conv/Conv,Conv,6579200,0.13%,116992,0.15%,32896,0.27%,1x256x10x10,1x128x10x10
/model.15/act/Sigmoid,Sigmoid,3276800,0.07%,204800,0.27%,0,0.00%,1x512x10x10,1x512x10x10
/model.16/act/Sigmoid,Sigmoid,819200,0.02%,51200,0.07%,0,0.00%,1x128x10x10,1x128x10x10
/model.15/act/Mul,Mul,102400,0.00%,204800,0.27%,0,0.00%,1x512x10x10,1x512x10x10
/model.16/act/Mul,Mul,25600,0.00%,51200,0.07%,0,0.00%,1x128x10x10,1x128x10x10
/model.17/Resize,Resize,0,0.00%,204816,0.27%,4,0.00%,1x128x10x10,1x128x20x20
/model.20/cv2.1/cv2.1.0/conv/Conv,Conv,58995200,1.17%,615552,0.80%,294976,2.42%,1x512x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.0/conv/Conv,Conv,235980800,4.70%,2462208,3.19%,1179904,9.69%,1x512x10x10,1x256x10x10
/model.20/cv2.1/cv2.1.0/act/Sigmoid,Sigmoid,409600,0.01%,25600,0.03%,0,0.00%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.0/act/Sigmoid,Sigmoid,1638400,0.03%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.19/conv/Conv,Conv,707993600,14.09%,2179584,2.83%,884992,7.27%,1x384x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.0/act/Mul,Mul,12800,0.00%,25600,0.03%,0,0.00%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.0/act/Mul,Mul,51200,0.00%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.19/act/Sigmoid,Sigmoid,6553600,0.13%,409600,0.53%,0,0.00%,1x256x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.1/conv/Conv,Conv,7385600,0.15%,99456,0.13%,36928,0.30%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.1/conv/Conv,Conv,118016000,2.35%,1282560,1.66%,590080,4.85%,1x256x10x10,1x256x10x10
/model.19/act/Mul,Mul,204800,0.00%,409600,0.53%,0,0.00%,1x256x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.1/act/Sigmoid,Sigmoid,409600,0.01%,25600,0.03%,0,0.00%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.1/act/Sigmoid,Sigmoid,1638400,0.03%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.20/cv2.0/cv2.0.0/conv/Conv,Conv,118016000,2.35%,397440,0.52%,147520,1.21%,1x256x20x20,1x64x20x20
/model.20/cv3.0/cv3.0.0/conv/Conv,Conv,472064000,9.40%,1589760,2.06%,590080,4.85%,1x256x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.1/act/Mul,Mul,12800,0.00%,25600,0.03%,0,0.00%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.1/act/Mul,Mul,51200,0.00%,102400,0.13%,0,0.00%,1x256x10x10,1x256x10x10
/model.20/cv2.0/cv2.0.0/act/Sigmoid,Sigmoid,1638400,0.03%,102400,0.13%,0,0.00%,1x64x20x20,1x64x20x20
/model.20/cv3.0/cv3.0.0/act/Sigmoid,Sigmoid,6553600,0.13%,409600,0.53%,0,0.00%,1x256x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.2/Conv,Conv,832000,0.02%,33920,0.04%,4160,0.03%,1x64x10x10,1x64x10x10
/model.20/cv3.1/cv3.1.2/Conv,Conv,4112000,0.08%,73120,0.09%,20560,0.17%,1x256x10x10,1x80x10x10
/model.20/cv2.0/cv2.0.0/act/Mul,Mul,51200,0.00%,102400,0.13%,0,0.00%,1x64x20x20,1x64x20x20
