Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,183500800,0.25%,13108992,2.41%,896,0.00%,1x3x320x320,1x32x320x320
/model.0/act/Sigmoid,Sigmoid,209715200,0.29%,13107200,2.41%,0,0.00%,1x32x320x320,1x32x320x320
/model.0/act/Mul,Mul,6553600,0.01%,13107200,2.41%,0,0.00%,1x32x320x320,1x32x320x320
/model.1/conv/Conv,Conv,946995200,1.31%,6590592,1.21%,18496,0.02%,1x32x320x320,1x64x160x160
/model.1/act/Sigmoid,Sigmoid,104857600,0.15%,6553600,1.20%,0,0.00%,1x64x160x160,1x64x160x160
/model.1/act/Mul,Mul,3276800,0.00%,6553600,1.20%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv1/conv/Conv,Conv,945356800,1.31%,3313728,0.61%,18464,0.02%,1x64x160x160,1x32x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,52428800,0.07%,3276800,0.60%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/act/Mul,Mul,1638400,0.00%,3276800,0.60%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv2/conv/Conv,Conv,946995200,1.31%,6590592,1.21%,18496,0.02%,1x32x160x160,1x64x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,104857600,0.15%,6553600,1.20%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv2/act/Mul,Mul,3276800,0.00%,6553600,1.20%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/Add,Add,3276800,0.00%,6553600,1.20%,0,0.00%,1x64x160x160,1x64x160x160
/model.3/conv/Conv,Conv,945356800,1.31%,3424512,0.63%,73856,0.07%,1x64x160x160,1x128x80x80
/model.3/act/Sigmoid,Sigmoid,52428800,0.07%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.3/act/Mul,Mul,1638400,0.00%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/cv1/conv/Conv,Conv,944537600,1.31%,1785984,0.33%,73792,0.07%,1x128x80x80,1x64x80x80
/model.4/model.4.0/cv1/act/Sigmoid,Sigmoid,26214400,0.04%,1638400,0.30%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.0/cv1/act/Mul,Mul,819200,0.00%,1638400,0.30%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.0/cv2/conv/Conv,Conv,945356800,1.31%,3424512,0.63%,73856,0.07%,1x64x80x80,1x128x80x80
/model.4/model.4.0/cv2/act/Sigmoid,Sigmoid,52428800,0.07%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/cv2/act/Mul,Mul,1638400,0.00%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/Add,Add,1638400,0.00%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/cv1/conv/Conv,Conv,944537600,1.31%,1785984,0.33%,73792,0.07%,1x128x80x80,1x64x80x80
/model.4/model.4.1/cv1/act/Sigmoid,Sigmoid,26214400,0.04%,1638400,0.30%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.1/cv1/act/Mul,Mul,819200,0.00%,1638400,0.30%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.1/cv2/conv/Conv,Conv,945356800,1.31%,3424512,0.63%,73856,0.07%,1x64x80x80,1x128x80x80
/model.4/model.4.1/cv2/act/Sigmoid,Sigmoid,52428800,0.07%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/cv2/act/Mul,Mul,1638400,0.00%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/Add,Add,1638400,0.00%,3276800,0.60%,0,0.00%,1x128x80x80,1x128x80x80
/model.5/conv/Conv,Conv,944537600,1.31%,2228736,0.41%,295168,0.28%,1x128x80x80,1x256x40x40
/model.5/act/Sigmoid,Sigmoid,26214400,0.04%,1638400,0.30%,0,0.00%,1x256x40x40,1x256x40x40
/model.5/act/Mul,Mul,819200,0.00%,1638400,0.30%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.0/cv1/conv/Conv,Conv,944128000,1.31%,1409280,0.26%,295040,0.28%,1x256x40x40,1x128x40x40
