Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,1428684800,6.46%,26217888,2.72%,1744,0.05%,1x3x1280x1280,1x16x640x640
/model.0/act/Sigmoid,Sigmoid,419430400,1.90%,26214400,2.72%,0,0.00%,1x16x640x640,1x16x640x640
/model.0/act/Mul,Mul,13107200,0.06%,26214400,2.72%,0,0.00%,1x16x640x640,1x16x640x640
/model.1/conv/Conv,Conv,950272000,4.30%,13116480,1.36%,4640,0.13%,1x16x640x640,1x32x320x320
/model.1/act/Sigmoid,Sigmoid,209715200,0.95%,13107200,1.36%,0,0.00%,1x32x320x320,1x32x320x320
/model.1/act/Mul,Mul,6553600,0.03%,13107200,1.36%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/cv1/conv/Conv,Conv,108134400,0.49%,6554656,0.68%,528,0.01%,1x32x320x320,1x16x320x320
/model.2/cv2/conv/Conv,Conv,108134400,0.49%,6554656,0.68%,528,0.01%,1x32x320x320,1x16x320x320
/model.2/cv1/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/cv2/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/cv1/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/cv2/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv1/conv/Conv,Conv,55705600,0.25%,6554144,0.68%,272,0.01%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv1/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv1/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv2/conv/Conv,Conv,475136000,2.15%,6558240,0.68%,2320,0.06%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv2/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/m/m.0/cv2/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/m/m.0/Add,Add,3276800,0.01%,6553600,0.68%,0,0.00%,1x16x320x320,1x16x320x320
/model.2/cv3/conv/Conv,Conv,216268800,0.98%,13109312,1.36%,1056,0.03%,1x32x320x320,1x32x320x320
/model.2/cv3/act/Sigmoid,Sigmoid,209715200,0.95%,13107200,1.36%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/cv3/act/Mul,Mul,6553600,0.03%,13107200,1.36%,0,0.00%,1x32x320x320,1x32x320x320
/model.3/conv/Conv,Conv,946995200,4.29%,6590592,0.68%,18496,0.51%,1x32x320x320,1x64x160x160
/model.3/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x64x160x160,1x64x160x160
/model.3/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/cv1/conv/Conv,Conv,106496000,0.48%,3280960,0.34%,2080,0.06%,1x64x160x160,1x32x160x160
/model.4/cv2/conv/Conv,Conv,106496000,0.48%,3280960,0.34%,2080,0.06%,1x64x160x160,1x32x160x160
/model.4/cv1/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/cv2/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/cv1/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/cv2/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv1/conv/Conv,Conv,54067200,0.24%,3278912,0.34%,1056,0.03%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv1/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv1/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv2/conv/Conv,Conv,473497600,2.14%,3295296,0.34%,9248,0.25%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv2/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.0/cv2/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.0/Add,Add,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv1/conv/Conv,Conv,54067200,0.24%,3278912,0.34%,1056,0.03%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv1/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv1/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv2/conv/Conv,Conv,473497600,2.14%,3295296,0.34%,9248,0.25%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv2/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.1/cv2/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/m/m.1/Add,Add,1638400,0.01%,3276800,0.34%,0,0.00%,1x32x160x160,1x32x160x160
/model.4/cv3/conv/Conv,Conv,212992000,0.96%,6561920,0.68%,4160,0.11%,1x64x160x160,1x64x160x160
/model.4/cv3/act/Sigmoid,Sigmoid,104857600,0.47%,6553600,0.68%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/cv3/act/Mul,Mul,3276800,0.01%,6553600,0.68%,0,0.00%,1x64x160x160,1x64x160x160
/model.5/conv/Conv,Conv,945356800,4.28%,3424512,0.36%,73856,2.02%,1x64x160x160,1x128x80x80
/model.5/act/Sigmoid,Sigmoid,52428800,0.24%,3276800,0.34%,0,0.00%,1x128x80x80,1x128x80x80
/model.5/act/Mul,Mul,1638400,0.01%,3276800,0.34%,0,0.00%,1x128x80x80,1x128x80x80
/model.6/cv1/conv/Conv,Conv,105676800,0.48%,1654912,0.17%,8256,0.23%,1x128x80x80,1x64x80x80
/model.6/cv2/conv/Conv,Conv,105676800,0.48%,1654912,0.17%,8256,0.23%,1x128x80x80,1x64x80x80
/model.6/cv1/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/cv2/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/cv1/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/cv2/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv1/conv/Conv,Conv,53248000,0.24%,1646720,0.17%,4160,0.11%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv1/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv1/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv2/conv/Conv,Conv,472678400,2.14%,1712256,0.18%,36928,1.01%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv2/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.0/cv2/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.0/Add,Add,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv1/conv/Conv,Conv,53248000,0.24%,1646720,0.17%,4160,0.11%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv1/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv1/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv2/conv/Conv,Conv,472678400,2.14%,1712256,0.18%,36928,1.01%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv2/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.1/cv2/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.1/Add,Add,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv1/conv/Conv,Conv,53248000,0.24%,1646720,0.17%,4160,0.11%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv1/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv1/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv2/conv/Conv,Conv,472678400,2.14%,1712256,0.18%,36928,1.01%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv2/act/Sigmoid,Sigmoid,26214400,0.12%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
/model.6/m/m.2/cv2/act/Mul,Mul,819200,0.00%,1638400,0.17%,0,0.00%,1x64x80x80,1x64x80x80
