Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,89292800,6.58%,1641888,2.61%,1744,0.09%,1x3x320x320,1x16x160x160
/model.0/act/Sigmoid,Sigmoid,26214400,1.93%,1638400,2.61%,0,0.00%,1x16x160x160,1x16x160x160
/model.0/act/Mul,Mul,819200,0.06%,1638400,2.61%,0,0.00%,1x16x160x160,1x16x160x160
/model.1/conv/Conv,Conv,59392000,4.38%,828480,1.32%,4640,0.25%,1x16x160x160,1x32x80x80
/model.1/act/Sigmoid,Sigmoid,13107200,0.97%,819200,1.30%,0,0.00%,1x32x80x80,1x32x80x80
/model.1/act/Mul,Mul,409600,0.03%,819200,1.30%,0,0.00%,1x32x80x80,1x32x80x80
/model.2/cv1/conv/Conv,Conv,6758400,0.50%,410656,0.65%,528,0.03%,1x32x80x80,1x16x80x80
/model.2/cv2/conv/Conv,Conv,6758400,0.50%,410656,0.65%,528,0.03%,1x32x80x80,1x16x80x80
/model.2/cv1/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/cv2/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/cv1/act/Mul,Mul,204800,0.02%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/cv2/act/Mul,Mul,204800,0.02%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv1/conv/Conv,Conv,3481600,0.26%,410144,0.65%,272,0.01%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv1/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv1/act/Mul,Mul,204800,0.02%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv2/conv/Conv,Conv,29696000,2.19%,414240,0.66%,2320,0.12%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv2/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/m/m.0/cv2/act/Mul,Mul,204800,0.02%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/m/m.0/Add,Add,204800,0.02%,409600,0.65%,0,0.00%,1x16x80x80,1x16x80x80
/model.2/cv3/conv/Conv,Conv,13516800,1.00%,821312,1.31%,1056,0.06%,1x32x80x80,1x32x80x80
/model.2/cv3/act/Sigmoid,Sigmoid,13107200,0.97%,819200,1.30%,0,0.00%,1x32x80x80,1x32x80x80
/model.2/cv3/act/Mul,Mul,409600,0.03%,819200,1.30%,0,0.00%,1x32x80x80,1x32x80x80
/model.3/conv/Conv,Conv,59187200,4.36%,446592,0.71%,18496,0.98%,1x32x80x80,1x64x40x40
/model.3/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x64x40x40,1x64x40x40
/model.3/act/Mul,Mul,204800,0.02%,409600,0.65%,0,0.00%,1x64x40x40,1x64x40x40
/model.4/cv1/conv/Conv,Conv,6656000,0.49%,208960,0.33%,2080,0.11%,1x64x40x40,1x32x40x40
/model.4/cv2/conv/Conv,Conv,6656000,0.49%,208960,0.33%,2080,0.11%,1x64x40x40,1x32x40x40
/model.4/cv1/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/cv2/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/cv1/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/cv2/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv1/conv/Conv,Conv,3379200,0.25%,206912,0.33%,1056,0.06%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv1/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv1/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv2/conv/Conv,Conv,29593600,2.18%,223296,0.36%,9248,0.49%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv2/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.0/cv2/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.0/Add,Add,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv1/conv/Conv,Conv,3379200,0.25%,206912,0.33%,1056,0.06%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv1/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv1/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv2/conv/Conv,Conv,29593600,2.18%,223296,0.36%,9248,0.49%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv2/act/Sigmoid,Sigmoid,3276800,0.24%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.1/cv2/act/Mul,Mul,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/m/m.1/Add,Add,102400,0.01%,204800,0.33%,0,0.00%,1x32x40x40,1x32x40x40
/model.4/cv3/conv/Conv,Conv,13312000,0.98%,417920,0.66%,4160,0.22%,1x64x40x40,1x64x40x40
/model.4/cv3/act/Sigmoid,Sigmoid,6553600,0.48%,409600,0.65%,0,0.00%,1x64x40x40,1x64x40x40
