Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,714342400,3.92%,13114176,3.14%,3488,0.05%,1x3x640x640,1x32x320x320
/model.0/act/Sigmoid,Sigmoid,209715200,1.15%,13107200,3.14%,0,0.00%,1x32x320x320,1x32x320x320
/model.0/act/Mul,Mul,6553600,0.04%,13107200,3.14%,0,0.00%,1x32x320x320,1x32x320x320
/model.1/conv/Conv,Conv,946995200,5.20%,6590592,1.58%,18496,0.25%,1x32x320x320,1x64x160x160
/model.1/act/Sigmoid,Sigmoid,104857600,0.58%,6553600,1.57%,0,0.00%,1x64x160x160,1x64x160x160
/model.1/act/Mul,Mul,3276800,0.02%,6553600,1.57%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv1/conv/Conv,Conv,106496000,0.58%,3280960,0.79%,2080,0.03%,1x64x160x160,1x32x160x160
/model.2/cv2/conv/Conv,Conv,106496000,0.58%,3280960,0.79%,2080,0.03%,1x64x160x160,1x32x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv2/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv1/conv/Conv,Conv,54067200,0.30%,3278912,0.79%,1056,0.01%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv1/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv1/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv2/conv/Conv,Conv,473497600,2.60%,3295296,0.79%,9248,0.13%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv2/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/m/m.0/cv2/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/m/m.0/Add,Add,1638400,0.01%,3276800,0.79%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv3/conv/Conv,Conv,212992000,1.17%,6561920,1.57%,4160,0.06%,1x64x160x160,1x64x160x160
/model.2/cv3/act/Sigmoid,Sigmoid,104857600,0.58%,6553600,1.57%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv3/act/Mul,Mul,3276800,0.02%,6553600,1.57%,0,0.00%,1x64x160x160,1x64x160x160
/model.3/conv/Conv,Conv,945356800,5.19%,3424512,0.82%,73856,1.01%,1x64x160x160,1x128x80x80
/model.3/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x128x80x80,1x128x80x80
/model.3/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/cv1/conv/Conv,Conv,105676800,0.58%,1654912,0.40%,8256,0.11%,1x128x80x80,1x64x80x80
/model.4/cv2/conv/Conv,Conv,105676800,0.58%,1654912,0.40%,8256,0.11%,1x128x80x80,1x64x80x80
/model.4/cv1/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv2/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv1/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv2/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv1/conv/Conv,Conv,53248000,0.29%,1646720,0.39%,4160,0.06%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv1/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv1/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv2/conv/Conv,Conv,472678400,2.60%,1712256,0.41%,36928,0.50%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv2/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.0/cv2/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.0/Add,Add,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv1/conv/Conv,Conv,53248000,0.29%,1646720,0.39%,4160,0.06%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv1/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv1/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv2/conv/Conv,Conv,472678400,2.60%,1712256,0.41%,36928,0.50%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv2/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.1/cv2/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/m/m.1/Add,Add,819200,0.00%,1638400,0.39%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv3/conv/Conv,Conv,211353600,1.16%,3309824,0.79%,16512,0.23%,1x128x80x80,1x128x80x80
/model.4/cv3/act/Sigmoid,Sigmoid,52428800,0.29%,3276800,0.79%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/cv3/act/Mul,Mul,1638400,0.01%,3276800,0.79%,0,0.00%,1x128x80x80,1x128x80x80
/model.5/conv/Conv,Conv,944537600,5.19%,2228736,0.53%,295168,4.03%,1x128x80x80,1x256x40x40
/model.5/act/Sigmoid,Sigmoid,26214400,0.14%,1638400,0.39%,0,0.00%,1x256x40x40,1x256x40x40
/model.5/act/Mul,Mul,819200,0.00%,1638400,0.39%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/cv1/conv/Conv,Conv,105267200,0.58%,884992,0.21%,32896,0.45%,1x256x40x40,1x128x40x40
