Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,275251200,0.33%,19663488,2.41%,1344,0.01%,1x3x640x640,1x48x320x320
/model.0/act/Sigmoid,Sigmoid,314572800,0.38%,19660800,2.41%,0,0.00%,1x48x320x320,1x48x320x320
/model.0/act/Mul,Mul,9830400,0.01%,19660800,2.41%,0,0.00%,1x48x320x320,1x48x320x320
/model.1/conv/Conv,Conv,2128281600,2.59%,9913536,1.21%,41568,0.16%,1x48x320x320,1x96x160x160
/model.1/act/Sigmoid,Sigmoid,157286400,0.19%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.1/act/Mul,Mul,4915200,0.01%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/cv1/conv/Conv,Conv,476774400,0.58%,9849024,1.21%,9312,0.04%,1x96x160x160,1x96x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,157286400,0.19%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/cv1/act/Mul,Mul,4915200,0.01%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/Split,Split,0,0.00%,9830416,1.20%,2,0.00%,1x96x160x160,1x48x160x160
/model.2/m.0/cv1/conv/Conv,Conv,1064140800,1.29%,4956768,0.61%,20784,0.08%,1x48x160x160,1x48x160x160
/model.2/m.0/cv1/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.0/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.0/cv2/conv/Conv,Conv,1064140800,1.29%,4956768,0.61%,20784,0.08%,1x48x160x160,1x48x160x160
/model.2/m.0/cv2/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.0/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.0/Add,Add,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.1/cv1/conv/Conv,Conv,1064140800,1.29%,4956768,0.61%,20784,0.08%,1x48x160x160,1x48x160x160
/model.2/m.1/cv1/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.1/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.1/cv2/conv/Conv,Conv,1064140800,1.29%,4956768,0.61%,20784,0.08%,1x48x160x160,1x48x160x160
/model.2/m.1/cv2/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.1/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m.1/Add,Add,2457600,0.00%,4915200,0.60%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/cv2/conv/Conv,Conv,948633600,1.15%,9867456,1.21%,18528,0.07%,1x192x160x160,1x96x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,157286400,0.19%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/cv2/act/Mul,Mul,4915200,0.01%,9830400,1.20%,0,0.00%,1x96x160x160,1x96x160x160
/model.3/conv/Conv,Conv,2125824000,2.58%,5247360,0.64%,166080,0.64%,1x96x160x160,1x192x80x80
/model.3/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.3/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.4/cv1/conv/Conv,Conv,474316800,0.58%,4989312,0.61%,37056,0.14%,1x192x80x80,1x192x80x80
/model.4/cv1/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.4/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.4/Split,Split,0,0.00%,4915216,0.60%,2,0.00%,1x192x80x80,1x96x80x80
/model.4/m.0/cv1/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.0/cv1/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.0/cv1/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.0/cv2/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.0/cv2/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.0/cv2/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.0/Add,Add,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.1/cv1/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.1/cv1/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.1/cv1/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.1/cv2/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.1/cv2/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.1/cv2/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.1/Add,Add,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.2/cv1/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.2/cv1/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.2/cv1/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.2/cv2/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.2/cv2/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.2/cv2/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.2/Add,Add,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.3/cv1/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.3/cv1/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.3/cv1/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.3/cv2/conv/Conv,Conv,1062912000,1.29%,2623680,0.32%,83040,0.32%,1x96x80x80,1x96x80x80
/model.4/m.3/cv2/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.3/cv2/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/m.3/Add,Add,1228800,0.00%,2457600,0.30%,0,0.00%,1x96x80x80,1x96x80x80
/model.4/cv2/conv/Conv,Conv,1418035200,1.72%,5136768,0.63%,110784,0.43%,1x576x80x80,1x192x80x80
/model.4/cv2/act/Sigmoid,Sigmoid,78643200,0.10%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.4/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.60%,0,0.00%,1x192x80x80,1x192x80x80
/model.5/conv/Conv,Conv,2124595200,2.58%,3785472,0.46%,663936,2.56%,1x192x80x80,1x384x40x40
/model.5/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x384x40x40,1x384x40x40
/model.5/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x384x40x40,1x384x40x40
/model.6/cv1/conv/Conv,Conv,473088000,0.58%,2753280,0.34%,147840,0.57%,1x384x40x40,1x384x40x40
/model.6/cv1/act/Sigmoid,Sigmoid,39321600,0.05%,2457600,0.30%,0,0.00%,1x384x40x40,1x384x40x40
/model.6/cv1/act/Mul,Mul,1228800,0.00%,2457600,0.30%,0,0.00%,1x384x40x40,1x384x40x40
/model.6/Split,Split,0,0.00%,2457616,0.30%,2,0.00%,1x384x40x40,1x192x40x40
/model.6/m.0/cv1/conv/Conv,Conv,1062297600,1.29%,1892736,0.23%,331968,1.28%,1x192x40x40,1x192x40x40
/model.6/m.0/cv1/act/Sigmoid,Sigmoid,19660800,0.02%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.0/cv1/act/Mul,Mul,614400,0.00%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.0/cv2/conv/Conv,Conv,1062297600,1.29%,1892736,0.23%,331968,1.28%,1x192x40x40,1x192x40x40
/model.6/m.0/cv2/act/Sigmoid,Sigmoid,19660800,0.02%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.0/cv2/act/Mul,Mul,614400,0.00%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.0/Add,Add,614400,0.00%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.1/cv1/conv/Conv,Conv,1062297600,1.29%,1892736,0.23%,331968,1.28%,1x192x40x40,1x192x40x40
/model.6/m.1/cv1/act/Sigmoid,Sigmoid,19660800,0.02%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.1/cv1/act/Mul,Mul,614400,0.00%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
/model.6/m.1/cv2/conv/Conv,Conv,1062297600,1.29%,1892736,0.23%,331968,1.28%,1x192x40x40,1x192x40x40
/model.6/m.1/cv2/act/Sigmoid,Sigmoid,19660800,0.02%,1228800,0.15%,0,0.00%,1x192x40x40,1x192x40x40
