Model,Model Family,Model Variant,Platform,Clock Freq. (MHz),Framework,Batch Size,Input Shape,mAP50-95 @ coco128,Inf. Time (ms),Inf. Throughput (img/s),Power (W),Energy per Inf. (mJ)
yolov3-tiny,yolov3,tiny,ARM Cortex-A72,1500,ONNX,1,320x320,0.2281,182.29,5.48576444127489,,0
yolov3-tiny,yolov3,tiny,ARM Cortex-A72,1500,ONNX,1,416x416,0.2608,293.69,3.404950798,,0
yolov3-tiny,yolov3,tiny,ARM Cortex-A72,1500,ONNX,1,640x640,0.2623,739.99,1.35136961310288,,0
yolov3,yolov3,320,ARM Cortex-A72,1500,ONNX,1,320x320,0.5366,2817.28,0.354952294411631,,0
yolov3,yolov3,416,ARM Cortex-A72,1500,ONNX,1,416x416,0.5705,4317.58,0.2316112267,,0
yolov3,yolov3,640,ARM Cortex-A72,1500,ONNX,1,640x640,0.588,12974.85,0.077072181952007,,0
yolov5n,yolov5,n,ARM Cortex-A72,1500,ONNX,1,320x320,0.2944,96.65,10.3466114847387,,0
yolov5n,yolov5,n,ARM Cortex-A72,1500,ONNX,1,640x640,0.3491,391.25,2.55591054313099,,0
yolov5s,yolov5,s,ARM Cortex-A72,1500,ONNX,1,320x320,0.4087,380.72,2.62660222735869,,0
yolov5s,yolov5,s,ARM Cortex-A72,1500,ONNX,1,640x640,0.4715,1583.01,0.631707948781119,,0
yolov5m,yolov5,m,ARM Cortex-A72,1500,ONNX,1,320x320,0.4891,1106.21,0.903987488813155,,0
yolov5m,yolov5,m,ARM Cortex-A72,1500,ONNX,1,640x640,0.5537,4376.97,0.228468552446099,,0
yolov8n,yolov8,n,ARM Cortex-A72,1500,ONNX,1,320x320,0.3717,168.21,5.94494976517448,,0
yolov8n,yolov8,n,ARM Cortex-A72,1500,ONNX,1,640x640,0.4525,610.56,1.63784067085954,,0
yolov8s,yolov8,s,ARM Cortex-A72,1500,ONNX,1,320x320,0.4954,475.88,2.10137009330083,,0
yolov8s,yolov8,s,ARM Cortex-A72,1500,ONNX,1,640x640,0.5962,2267.02,0.44110770968055,,0
yolov8m,yolov8,m,ARM Cortex-A72,1500,ONNX,1,320x320,0.5459,1585.92,0.630548829701372,,0
yolov8m,yolov8,m,ARM Cortex-A72,1500,ONNX,1,640x640,0.612,6906.61,0.144788832726909,,0
yolov3-tiny,yolov3,tiny,Intel i7-8750H,4100,ONNX,1,320x320,0.2284,11.62,86.0585197934596,,0
yolov3-tiny,yolov3,tiny,Intel i7-8750H,4100,ONNX,1,416x416,0.2608,17.31,57.7700751,,0
yolov3-tiny,yolov3,tiny,Intel i7-8750H,4100,ONNX,1,640x640,0.2623,47.02,21.2675457252233,,0
yolov3,yolov3,320,Intel i7-8750H,4100,ONNX,1,320x320,0.5366,107.35,9.31532370749884,,0
yolov3,yolov3,416,Intel i7-8750H,4100,ONNX,1,416x416,0.5705,170.54,5.863726985,,0
