Model,Model Family,Model Variant,Batch Size,Input Shape,Weights Wordlength,Activations Wordlength,"mAP50-95 @ coco-val2017
with LAYER_BFP","mAP50-95 @ coco-val2017
with CHANNEL_BFP"
yolov3-tiny,yolov3,tiny,1,320x320,16,16,0.163,0.163
yolov3-tiny,yolov3,tiny,1,320x320,10,16,0.163,0.163
yolov3-tiny,yolov3,tiny,1,320x320,8,16,0.158,0.161
yolov3-tiny,yolov3,tiny,1,320x320,7,16,0.143,0.158
yolov3-tiny,yolov3,tiny,1,320x320,6,16,0.1,0.152
yolov3-tiny,yolov3,tiny,1,416x416,16,16,0.184,0.184
yolov3-tiny,yolov3,tiny,1,416x416,10,16,0.183,0.184
yolov3-tiny,yolov3,tiny,1,416x416,8,16,0.178,0.182
yolov3-tiny,yolov3,tiny,1,416x416,7,16,0.161,0.179
yolov3-tiny,yolov3,tiny,1,416x416,6,16,0.111,0.171
yolov3-tiny,yolov3,tiny,1,640x640,16,16,0.186,0.186
yolov3-tiny,yolov3,tiny,1,640x640,10,16,0.185,0.186
yolov3-tiny,yolov3,tiny,1,640x640,8,16,0.179,0.184
yolov3-tiny,yolov3,tiny,1,640x640,7,16,0.16,0.181
yolov3-tiny,yolov3,tiny,1,640x640,6,16,0.1,0.173
yolov3,yolov3,320,1,320x320,16,16,0.408,0.408
yolov3,yolov3,320,1,320x320,10,16,0.407,0.408
yolov3,yolov3,320,1,320x320,8,16,0.394,0.407
yolov3,yolov3,320,1,320x320,7,16,0.373,0.405
yolov3,yolov3,320,1,320x320,6,16,0.292,0.403
yolov3,yolov3,416,1,416x416,16,16,0.44,0.44
yolov3,yolov3,416,1,416x416,10,16,0.439,0.44
yolov3,yolov3,416,1,416x416,8,16,0.422,0.44
yolov3,yolov3,416,1,416x416,7,16,0.395,0.438
yolov3,yolov3,416,1,416x416,6,16,0.304,0.433
yolov3,yolov3,640,1,640x640,16,16,0.464,0.464
yolov3,yolov3,640,1,640x640,10,16,0.463,0.464
yolov3,yolov3,640,1,640x640,8,16,0.443,0.464
yolov3,yolov3,640,1,640x640,7,16,0.403,0.462
yolov3,yolov3,640,1,640x640,6,16,0.298,0.457
yolov5n,yolov5,n,1,320x320,16,16,0.22,0.22
yolov5n,yolov5,n,1,320x320,10,16,0.219,0.22
yolov5n,yolov5,n,1,320x320,8,16,0.212,0.22
yolov5n,yolov5,n,1,320x320,7,16,0.187,0.217
yolov5n,yolov5,n,1,320x320,6,16,0.091,0.208
yolov5n,yolov5,n,1,640x640,16,16,0.277,0.277
yolov5n,yolov5,n,1,640x640,10,16,0.276,0.277
yolov5n,yolov5,n,1,640x640,8,16,0.267,0.276
yolov5n,yolov5,n,1,640x640,7,16,0.231,0.271
yolov5n,yolov5,n,1,640x640,6,16,0.099,0.259
yolov5s,yolov5,s,1,320x320,16,16,0.304,0.304
yolov5s,yolov5,s,1,320x320,10,16,0.304,0.304
yolov5s,yolov5,s,1,320x320,8,16,0.296,0.303
yolov5s,yolov5,s,1,320x320,7,16,0.282,0.302
yolov5s,yolov5,s,1,320x320,6,16,0.225,0.294
yolov5s,yolov5,s,1,640x640,16,16,0.371,0.371
yolov5s,yolov5,s,1,640x640,10,16,0.371,0.371
yolov5s,yolov5,s,1,640x640,8,16,0.363,0.37
yolov5s,yolov5,s,1,640x640,7,16,0.344,0.368
yolov5s,yolov5,s,1,640x640,6,16,0.271,0.359
yolov5m,yolov5,m,1,320x320,16,16,0.379,0.379
yolov5m,yolov5,m,1,320x320,10,16,0.378,0.379
yolov5m,yolov5,m,1,320x320,8,16,0.37,0.379
yolov5m,yolov5,m,1,320x320,7,16,0.353,0.377
yolov5m,yolov5,m,1,320x320,6,16,0.289,0.374
yolov5m,yolov5,m,1,640x640,16,16,0.449,0.449
yolov5m,yolov5,m,1,640x640,10,16,0.448,0.449
yolov5m,yolov5,m,1,640x640,8,16,0.436,0.449
yolov5m,yolov5,m,1,640x640,7,16,0.416,0.446
yolov5m,yolov5,m,1,640x640,6,16,0.324,0.443
yolov8n,yolov8,n,1,320x320,16,16,0.285,0.285
yolov8n,yolov8,n,1,320x320,10,16,0.285,0.285
yolov8n,yolov8,n,1,320x320,8,16,0.281,0.285
yolov8n,yolov8,n,1,320x320,7,16,0.263,0.279
yolov8n,yolov8,n,1,320x320,6,16,0.168,0.259
yolov8n,yolov8,n,1,640x640,16,16,0.371,0.371
yolov8n,yolov8,n,1,640x640,10,16,0.371,0.371
yolov8n,yolov8,n,1,640x640,8,16,0.362,0.37
yolov8n,yolov8,n,1,640x640,7,16,0.337,0.364
yolov8n,yolov8,n,1,640x640,6,16,0.198,0.341
yolov8s,yolov8,s,1,320x320,16,16,0.36,0.36
yolov8s,yolov8,s,1,320x320,10,16,0.36,0.36
yolov8s,yolov8,s,1,320x320,8,16,0.357,0.36
